,threshold,accuracy,precision,recall,f1score
531,0.531,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
530,0.53,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
503,0.503,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
504,0.504,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
505,0.505,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
506,0.506,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
507,0.507,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
508,0.508,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
509,0.509,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
510,0.51,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
511,0.511,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
512,0.512,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
513,0.513,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
514,0.514,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
515,0.515,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
516,0.516,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
517,0.517,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
518,0.518,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
519,0.519,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
520,0.52,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
521,0.521,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
522,0.522,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
523,0.523,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
524,0.524,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
525,0.525,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
526,0.526,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
527,0.527,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
528,0.528,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
529,0.529,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
562,0.562,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
563,0.5630000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
564,0.5640000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
595,0.595,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
597,0.597,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
598,0.598,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
599,0.599,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
600,0.6,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
601,0.601,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
602,0.602,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
603,0.603,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
604,0.604,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
605,0.605,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
606,0.606,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
607,0.607,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
608,0.608,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
609,0.609,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
610,0.61,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
611,0.611,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
612,0.612,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
613,0.613,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
614,0.614,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
615,0.615,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
616,0.616,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
617,0.617,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
618,0.618,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
